Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E
16931,0,1961.188,14.94288,10.07003,16.80357,38.43102,15.84237,-21.9812,6.779196,-18.46281,14.08832,18.46281,7.509089,105.614,70.56139,26.35997,30.39474,9.034594,19.54781
16932,0,1961.211,17.39106,9.952499,18.75675,38.59196,15.45569,-21.53563,5.140908,-19.68691,13.71008,19.68691,7.957863,105.6566,70.46867,27.15659,33.85466,9.918257,19.49417
16933,0,1961.237,18.34033,9.847901,19.153,38.55068,15.41607,-21.39782,3.543371,-20.5919,13.57623,20.5919,8.264412,105.6913,70.40338,26.90361,35.71051,10.38029,19.99873
16934,0,1961.262,19.05339,9.727386,19.34066,38.34535,17.96089,-21.30197,1.771778,-21.48881,13.65337,21.48881,8.371844,105.6924,70.33213,20.47011,36.94427,10.59156,20.89316
16935,0,1961.287,19.56713,9.620997,19.35431,38.05215,19.69392,-21.27005,0.3685048,-22.22933,14.11467,22.22933,8.513547,105.7226,70.27403,16.03897,38.04071,10.68052,22.25325
16936,0,1961.311,19.91586,9.547279,19.23978,37.71375,20.87851,-21.32941,-0.6974546,-22.81317,14.64375,22.81317,8.547965,105.7437,70.29034,12.90768,38.43575,10.74611,23.64444
16937,0,1961.337,20.10099,9.516964,18.95298,37.3761,21.6851,-21.41328,-1.473925,-23.25697,15.21663,23.25697,8.487625,105.8362,70.40886,10.78016,38.38029,10.59923,24.98851
16938,0,1961.362,20.16629,9.508657,18.64359,36.97819,22.21662,-21.41783,-1.993018,-23.52158,15.82614,23.52158,8.344567,105.9997,70.63538,9.288339,37.71664,10.46257,26.52561
16939,0,1961.388,19.65601,9.466412,18.19271,36.49449,22.37094,-21.36651,-1.887304,-23.61017,16.64492,23.61017,7.96346,106.1436,71.07455,7.620635,36.57871,10.36134,27.92041
16940,0,1961.483,19.14337,9.465208,17.78891,36.1671,22.43119,-21.35801,-1.644372,-23.18824,17.45769,23.18824,7.099427,106.5068,71.99054,6.600073,35.51642,10.12932,28.97037
16941,0,1961.508,18.46903,9.513556,17.42058,35.89293,22.77281,-21.17084,-0.8627541,-22.72355,18.00596,22.72355,6.391785,106.8195,72.71851,5.994072,34.54709,9.982805,29.75939
16942,0,1961.531,17.81108,9.592082,17.05318,35.72628,22.92173,-21.17329,0.3990945,-22.05765,18.32089,22.05765,5.913938,107.1663,73.30493,6.823806,33.27668,9.879837,30.15089
16943,0,1961.551,17.15019,9.695825,16.67374,35.59002,22.97873,-21.1116,1.492921,-21.39608,18.47143,21.39608,5.430294,107.5539,73.82137,7.386605,32.09023,9.82329,30.16303
16944,0,1961.583,16.47569,9.818726,16.27011,35.46375,20.85815,-20.9944,5.646044,-20.6536,18.46572,20.6536,4.999358,108.0327,74.30466,12.45945,31.14047,9.935175,29.75054
16945,0,1961.608,15.7851,9.937886,15.83877,35.33836,19.23365,-20.91973,8.975421,-19.90822,18.15337,19.90822,4.576715,108.4966,74.72009,16.82522,30.1003,9.813017,28.88862
16946,0,1961.631,14.87379,9.960716,15.32955,35.15995,17.91299,-20.91092,11.72155,-19.17591,17.7916,19.17591,4.480127,108.8805,74.96706,20.28662,28.75582,9.340267,28.01257
16947,0,1961.651,14.02482,9.925491,14.81749,35.09975,16.91713,-21.06949,13.76883,-18.21941,17.30261,18.21941,4.735945,109.0065,75.09769,23.03794,26.7004,8.607862,27.14373
16948,0,1961.685,13.23973,9.849039,14.32705,34.90147,16.2191,-21.08,15.44778,-17.35843,16.55005,17.35843,4.933401,108.6634,74.66131,25.01335,24.54309,7.295196,26.00476
16949,0,1961.708,12.35263,9.762472,13.68456,34.6059,15.77812,-21.10434,16.86787,-16.6403,15.73236,16.6403,5.081839,108.2254,73.97373,26.92153,21.04982,6.071054,24.84568
16950,0,1961.731,11.57474,9.717983,13.09233,34.31802,15.57904,-21.23849,17.98621,-15.88333,14.92201,15.88333,5.250872,107.7408,73.22968,28.33058,14.28825,5.130493,23.64368
16951,0,1961.758,10.88871,9.747396,12.56192,34.18739,15.59296,-21.57427,18.89918,-15.16546,14.23736,15.16546,5.305112,107.2383,72.58926,29.57415,1.045488,4.554276,22.37901
16952,0,1961.783,10.27893,9.844466,12.09282,34.20341,15.82518,-22.04962,19.72177,-14.49096,13.8154,14.49096,5.322444,106.8256,72.23407,30.37062,39.023,4.24464,21.13456
16953,0,1961.808,9.586855,10.0988,11.47628,34.35482,16.29788,-22.61537,20.5416,-13.86177,13.64652,13.86177,5.513062,106.4548,71.94768,30.94394,94.57404,4.183994,19.89037
16954,0,1961.831,8.967406,10.33371,10.92002,34.52439,16.78744,-23.22539,21.22807,-13.20372,13.69404,13.20372,5.922781,106.1113,71.59477,31.35302,118.5058,4.268336,18.88283
16955,0,1961.858,8.402048,10.53375,10.40961,34.88852,17.26809,-23.93723,21.81102,-12.65142,13.73825,12.65142,6.316214,105.7829,71.12759,31.64316,123.7039,4.418319,18.01526
16956,0,1961.883,7.880228,10.69038,9.952835,35.17472,17.81982,-24.57066,22.36443,-12.19438,13.79961,12.19438,6.613786,105.3538,70.42894,31.69207,126.3078,4.595976,17.09056
16957,0,1961.908,7.237306,10.8216,9.313695,35.27243,18.50479,-25.21692,22.96892,-11.8048,13.9275,11.8048,6.834949,104.9632,69.88122,31.55119,129.7774,4.724598,16.36756
16958,0,1961.937,6.65617,10.9125,8.774,35.45872,19.08567,-25.87213,23.48205,-11.44307,14.10333,11.44307,7.090054,104.5183,69.46215,31.45288,131.9511,4.930104,15.78643
16959,0,1961.962,6.119588,10.98118,8.304751,35.59247,19.58662,-26.23783,23.93363,-11.13809,14.24277,11.13809,7.270007,104.1774,69.11618,31.57391,132.8352,5.111286,15.20908
16960,0,1961.987,5.61702,11.03242,7.868835,35.59861,20.23058,-26.41578,24.30791,-10.86448,14.31987,10.86448,7.407507,103.9114,68.82347,31.29861,133.3218,5.297498,14.6529
16961,0,1962.011,5.006877,11.04664,7.238173,35.42785,20.91178,-26.36887,24.67045,-10.58792,14.29573,10.58792,7.472966,103.725,68.56149,30.98314,133.2486,5.456717,14.11732
16962,0,1962.033,4.453686,11.00239,6.678642,35.27716,21.42621,-26.15635,24.98262,-10.27177,14.25399,10.27177,7.656707,103.5567,68.32188,30.8219,132.4025,5.666591,13.62185
16963,0,1962.058,3.952551,10.91885,6.193687,35.11705,22.4022,-25.90002,24.70602,-10.01437,14.18387,10.01437,7.842025,103.3509,68.08313,29.55388,131.7376,5.900831,13.17708
16964,0,1962.083,3.505316,10.80992,5.771868,34.97208,23.09164,-25.62286,24.53792,-9.755482,14.12491,9.755482,8.029302,103.1143,67.84912,28.66742,131.18,6.119075,12.80169
16965,0,1962.108,3.035768,10.65558,5.260714,34.73269,23.69891,-25.3656,24.18162,-9.523447,14.13625,9.523447,8.16034,102.8522,67.53458,27.82059,130.5195,6.283036,12.46234
16966,0,1962.131,2.652104,10.51702,4.847999,34.65966,24.04812,-25.19663,22.78522,-9.275762,14.11372,9.275762,8.29169,102.5532,67.24723,26.26263,129.8238,6.419793,12.16817
16967,0,1962.151,2.400859,10.41541,4.651221,34.7093,24.24691,-25.10887,21.78849,-9.146173,14.08086,9.146173,8.372478,102.1869,66.97469,25.17656,129.6307,6.598557,11.8926
16968,0,1962.183,2.167808,10.32571,4.456236,34.76629,24.42383,-25.0263,20.91003,-9.113028,14.08776,9.113028,8.324448,101.9032,66.73557,24.17059,129.145,6.781019,11.6023
