Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E
37256,0,2464.597,17.13364,42.22875,15.08404,29.9164,38.36609,-23.84405,-5.079756,-22.7859,55.93857,22.7859,21.40542,37.72563,8.248474,4.153128,59.30134,14.14201,15.65088
37257,0,2464.622,17.98163,42.58191,15.66917,30.64491,38.93087,-22.55488,-5.452765,-21.57133,55.83835,21.57133,21.68505,37.99246,8.421906,4.187971,55.08501,13.86101,15.48744
37258,0,2464.647,19.08425,43.00892,16.50699,31.50749,40.37186,-21.44201,-7.164508,-19.04708,55.83484,19.04708,22.09764,38.40561,8.71727,5.416419,50.79697,12.99494,15.34039
37259,0,2464.691,20.46127,43.60398,17.50176,32.53552,41.80593,-20.23932,-8.561418,-16.12813,55.94239,16.12813,22.83101,38.97746,9.684113,6.130822,45.74549,11.86287,15.21596
37260,0,2464.722,21.67735,44.19613,18.29114,33.50474,43.04739,-19.38072,-9.685416,-13.78892,56.16037,13.78892,23.54641,39.65927,10.58476,6.491174,41.11529,11.05193,15.22056
37261,0,2464.747,23.19036,44.88732,19.14926,34.54647,44.38371,-19.23417,-10.87954,-11.65765,56.61074,11.65765,24.00526,40.60614,11.44221,6.634893,37.76419,10.5014,15.3698
37262,0,2464.771,24.47694,45.50807,19.7729,35.39825,45.49842,-19.3144,-11.95983,-9.844226,57.3409,9.844226,24.00862,41.36426,12.61688,6.711918,35.38718,10.03831,15.6615
37263,0,2464.801,25.57406,46.11407,20.18932,36.17968,46.47715,-19.51653,-12.95459,-8.398168,58.08867,8.398168,23.7798,41.88667,13.86307,6.739678,33.24572,9.447872,15.9931
37264,0,2464.824,26.47717,46.75247,20.40054,37.19361,44.07782,-20.03191,-8.507408,-7.423358,58.80833,7.423358,23.5503,42.5307,15.18477,4.951911,31.88507,8.867073,16.26542
37265,0,2464.847,27.44925,47.56187,20.54546,38.46007,42.28888,-20.7291,-5.676337,-6.896314,59.58365,6.896314,23.46315,42.97635,16.46704,3.532303,30.63014,8.43275,16.488
37266,0,2464.871,28.14675,48.30376,20.48862,39.69252,41.12169,-21.17721,-3.971678,-6.574262,60.1813,6.574262,23.67359,43.36107,17.68123,2.405176,28.88643,8.174234,16.74343
37267,0,2464.891,28.6205,48.97372,20.28735,40.89781,40.23637,-21.26657,-2.942178,-6.410317,60.66847,6.410317,23.89697,43.68718,18.48862,1.762919,26.16534,8.14876,16.95238
37268,0,2464.911,29.13644,49.72496,20.02843,42.1894,39.65869,-21.2138,-2.265377,-6.785327,61.24945,6.785327,23.83872,43.99239,18.99945,1.782789,22.5549,8.266574,17.10433
37269,0,2464.933,29.54036,50.43803,19.69493,42.91811,39.43679,-20.70699,-1.932392,-7.355114,61.86542,7.355114,23.38173,44.19743,19.4326,1.931379,18.9885,8.518758,17.21955
37270,0,2464.956,29.84086,51.09135,19.32519,43.14962,40.67696,-20.21347,-1.888963,-8.02331,62.44595,8.02331,22.97513,44.23438,19.73573,0.6801254,16.52138,8.693709,17.35264
37271,0,2464.979,30.02019,51.64966,18.95204,43.1154,41.62962,-19.73726,-1.880968,-8.769746,62.73786,8.769746,22.22909,44.13887,20.0345,0.1426525,14.78661,8.82165,17.28114
37272,0,2465.002,30.1251,52.12358,18.63895,43.14712,42.64275,-19.38589,-1.830132,-9.556828,62.86575,9.556828,21.74692,43.99426,20.2823,0.8451096,13.63082,8.819556,17.16811
37273,0,2465.026,30.15094,52.46494,18.37275,43.16149,43.35838,-19.12823,-1.786517,-10.3812,62.78566,10.3812,21.28178,43.80266,20.52173,1.236697,12.86207,8.781274,16.80562
37274,0,2465.049,30.21717,52.79225,18.25198,43.00843,44.76588,-18.64363,-1.407921,-10.40168,62.6354,10.40168,20.93966,43.59972,20.6658,2.269175,12.05424,8.757463,16.36171
37275,0,2465.072,30.27294,53.06339,18.17586,42.87814,45.78994,-18.14147,-1.077382,-10.29358,62.46677,10.29358,20.17128,43.45758,20.51292,2.929375,11.27143,8.714516,15.6644
37276,0,2465.097,30.29066,53.30267,18.10286,42.78265,46.55367,-17.58325,-0.7666831,-10.10239,62.33946,10.10239,19.53409,43.32681,20.23148,3.349599,10.43999,8.80038,14.9216
37277,0,2465.122,30.26481,53.51863,18.01645,42.72775,47.77102,-16.95002,-0.5286014,-10.36001,62.26061,10.36001,19.14067,43.38812,19.97462,3.961657,9.542459,8.496228,14.06262
37278,0,2465.149,30.16382,53.76403,17.85855,42.83458,49.72779,-16.12112,-0.07912937,-10.57295,62.33813,10.57295,19.01347,42.9202,19.8586,5.038162,8.307328,8.764503,13.48633
37279,0,2465.172,30.04631,53.96344,17.68979,42.99392,51.13011,-15.39511,0.2502292,-11.0001,62.49672,11.0001,18.87426,42.59106,19.82999,5.753263,7.189901,8.88144,12.94952
37280,0,2465.197,29.88303,54.10821,17.49907,43.1636,53.13069,-14.74173,1.060725,-11.79268,62.78915,11.79268,18.65209,42.23454,19.62149,7.109175,6.173999,8.899936,12.38184
37281,0,2465.222,29.50006,54.21254,17.16819,43.31517,54.14215,-14.07844,7.891578,-12.70484,63.06974,12.70484,18.5499,41.87175,19.36671,11.98745,5.25173,8.943581,11.95283
37282,0,2465.247,29.0725,54.24701,16.83141,43.47136,53.68503,-13.53491,14.97664,-13.82284,63.29426,13.82284,18.45846,41.43033,19.19257,17.03108,4.392845,9.13252,11.6757
37283,0,2465.271,28.62334,54.19998,16.50217,43.52415,53.3872,-13.14501,21.08843,-15.18757,63.40452,15.18757,18.01526,41.07184,19.06804,22.4314,3.74941,9.186604,11.40455
37284,0,2465.291,28.16097,54.06382,16.20021,43.44536,52.67919,-12.93888,25.50764,-16.40047,63.41969,16.40047,17.46589,40.74878,18.8885,27.16187,3.280978,9.150791,11.17033
37285,0,2465.311,27.67272,53.84839,15.933,43.17029,51.98267,-12.94747,28.2432,-17.08624,63.37203,17.08624,17.00443,40.40924,18.6519,30.71858,3.107657,9.127548,10.94954
37286,0,2465.347,26.7774,53.42684,15.51633,42.52119,51.34085,-13.07983,30.20225,-16.86721,63.1783,16.86721,16.74502,39.83081,18.39435,33.20831,3.46368,9.240227,10.79474
37287,0,2465.371,25.90571,52.9044,15.17192,41.4229,50.73698,-14.32051,31.38126,-16.27709,62.93901,16.27709,16.5327,39.3291,17.99448,34.90507,5.665242,9.417595,10.69634
37288,0,2465.391,25.10131,52.23572,14.93491,40.05629,50.04929,-15.67641,31.90194,-15.52853,62.51591,15.52853,16.27851,38.89781,17.53822,35.8352,8.179901,9.624043,10.59901
37289,0,2465.422,24.3648,51.43435,14.80232,38.74747,49.24675,-16.44379,32.01155,-14.83198,61.94261,14.83198,15.95212,38.45752,17.09908,36.38543,9.002371,9.849598,10.52026
37290,0,2465.447,23.60972,50.5326,14.7107,36.86142,48.4306,-18.37885,31.96314,-15.26476,61.26907,15.26476,15.60987,37.91844,16.73901,36.75708,11.99263,10.03848,10.50511
37291,0,2465.471,22.37577,49.13838,14.55526,33.95468,47.39112,-21.01179,31.76658,-14.72957,60.08593,14.72957,15.20763,37.48871,16.36295,36.65066,17.89306,10.34832,10.47324
37292,0,2465.491,21.22433,47.76087,14.46182,30.94237,46.13485,-23.34169,31.26337,-13.8518,58.83487,13.8518,14.91076,37.16071,16.02371,35.86448,23.31973,10.69982,10.44001
37293,0,2465.522,20.14223,46.369,14.41854,27.73665,44.51489,-25.4231,30.0537,-12.70295,57.49635,12.70295,14.66072,36.92183,15.70418,34.72134,26.16367,11.01349,10.48892
37294,0,2465.547,18.77176,44.43996,14.38752,23.42727,42.39466,-27.90038,28.42545,-11.13314,55.57767,11.13314,14.39676,36.75629,15.39436,33.09533,31.22816,11.40781,10.51066
37295,0,2465.571,17.52046,42.59235,14.40117,19.21105,40.04826,-29.98281,26.42603,-9.765936,53.67741,9.765936,14.11887,36.57533,15.02592,30.73035,36.28371,11.80834,10.485
37296,0,2465.591,16.33115,40.80666,14.44605,15.06096,37.75732,-31.68228,24.68261,-8.546125,51.80159,8.546125,13.94142,36.36034,14.6967,28.40422,40.53939,12.22355,10.56168
37297,0,2465.622,15.17148,39.06747,14.49321,11.07126,35.67252,-32.98342,22.77661,-7.533484,49.89704,7.533484,13.77998,36.14894,14.39674,25.66447,44.38609,12.51416,10.60671
37298,0,2465.647,13.7345,36.86587,14.54656,6.855836,33.31835,-33.87082,21.25217,-6.651838,47.43462,6.651838,13.66011,36.06235,14.15938,23.32649,48.17831,12.91213,10.60732
37299,0,2465.671,12.49293,34.87268,14.61588,3.354096,31.30879,-34.45682,19.94344,-6.028834,44.99331,6.028834,13.39497,36.08781,14.11739,21.19038,50.85147,13.57183,10.43238
37300,0,2465.697,11.39831,33.04958,14.68062,0.5166202,29.57081,-34.75938,18.76192,-5.563522,42.70738,5.563522,13.17297,36.22495,14.13271,19.35164,53.98585,14.2033,10.25902
37301,0,2465.722,10.41242,31.34122,14.74078,-1.806019,28.34781,-34.76314,17.06746,-5.173506,40.5472,5.173506,13.00131,36.47585,14.22163,16.9969,56.47597,14.73552,10.17152
37302,0,2465.747,9.403016,29.36041,14.91163,-3.414894,26.8391,-34.24377,15.63878,-4.699488,38.11275,4.699488,12.91031,36.98967,14.38295,15.04221,57.26943,15.02576,10.10869
37303,0,2465.771,8.57737,27.61998,15.06207,-4.245194,25.57106,-33.57109,14.34957,-4.329024,35.87277,4.329024,12.79674,37.4881,14.63728,13.33957,56.84337,15.3829,10.01449
37304,0,2465.791,7.908002,26.04452,15.1832,-4.48895,24.45891,-32.65115,12.81118,-4.07434,33.83689,4.07434,12.62237,37.93768,14.87383,11.46635,55.23404,15.65315,10.05369
37305,0,2465.811,7.346065,24.56416,15.24326,-2.888257,23.35586,-31.21805,11.36143,-3.927302,31.91438,3.927302,12.32139,38.32156,15.11682,9.866552,50.75394,15.83756,10.05373
37306,0,2465.833,6.882905,23.14474,15.2621,-1.85741,22.29566,-30.31855,9.94214,-3.99503,30.0747,3.99503,11.8815,38.73709,15.39334,8.410481,47.4049,15.91765,9.991154
37307,0,2465.856,6.50192,21.49195,15.34212,-1.624497,20.98956,-30.1058,8.468375,-4.212079,28.11188,4.212079,11.40716,39.16199,15.58658,7.04996,45.64961,16.01564,9.997136
37308,0,2465.879,6.171268,20.04782,15.3492,-1.721128,19.83326,-30.23227,6.867928,-4.549068,26.16666,4.549068,10.72534,39.61456,15.91916,5.72163,45.18978,16.17516,9.65492
37309,0,2465.902,5.913971,19.04588,15.25957,-1.8097,19.03723,-30.37461,5.76395,-4.932606,24.65175,4.932606,10.09861,40.04262,16.20401,4.793953,45.73374,16.42301,9.169133
37310,0,2465.926,5.644447,18.06565,15.13153,-2.149585,18.15956,-30.48672,4.788393,-5.302969,23.18678,5.302969,9.524934,40.36568,16.4915,3.989929,46.41092,16.71859,8.658936
37311,0,2465.952,5.274069,16.7976,14.97816,-2.936117,16.95669,-30.50096,3.926454,-5.5005,21.5347,5.5005,9.066031,40.52461,16.75369,3.295922,46.88941,16.9666,8.264745
37312,0,2465.976,4.957685,15.64858,14.83304,-3.580531,15.93585,-30.47372,3.149643,-5.662093,20.15405,5.662093,8.666781,40.55399,16.8317,2.735808,47.08305,17.24467,8.01746
37313,0,2465.999,4.688345,14.62392,14.71486,-4.050671,15.10439,-30.35916,2.293113,-5.857255,18.96408,5.857255,8.304279,40.51793,16.84007,2.173939,46.98954,17.5264,7.814318
37314,0,2466.022,4.443471,13.72291,14.62661,-4.373003,14.37228,-30.15106,1.573212,-5.960523,17.94684,5.960523,7.972157,40.49257,16.88161,1.703298,46.95203,17.8638,7.699292
37315,0,2466.047,4.154495,12.73563,14.5987,-4.659258,13.56645,-29.73171,0.993472,-6.177555,16.85169,6.177555,7.66708,40.47531,17.02397,1.328838,46.30615,18.27309,7.606432
37316,0,2466.071,3.906053,11.8586,14.57927,-5.017314,12.87757,-29.32208,0.4685547,-6.392613,15.73644,6.392613,7.238878,40.54289,17.33711,1.012591,45.60765,18.63007,7.296649
37317,0,2466.091,3.674397,11.07455,14.57242,-5.431124,12.20705,-29.03207,-0.1493534,-6.555294,14.6751,6.555294,6.85452,40.6824,17.65724,0.6299395,45.25048,18.95703,6.985222
37318,0,2466.111,3.445658,10.37064,14.58821,-5.803195,11.57925,-28.99363,-0.6658786,-6.645143,13.67056,6.645143,6.512737,40.89319,18.02205,0.2940859,45.28335,19.28978,6.65941
37319,0,2466.147,3.162483,9.571361,14.69594,-6.296004,10.84337,-28.96712,-1.063673,-6.592016,12.53257,6.592016,6.228157,41.17258,18.42229,0,45.36717,19.75113,6.26976
37320,0,2466.171,2.900431,8.867737,14.7809,-6.788621,10.18132,-29.06091,-1.411808,-6.56904,11.48148,6.56904,5.953185,41.60016,18.85568,0.2406627,45.62484,20.2846,5.804072
37321,0,2466.191,2.64915,8.243145,14.84273,-7.358741,9.465104,-29.27746,-1.828955,-6.49513,10.47599,6.49513,5.636873,41.98764,19.56607,0.5640592,46.29147,20.79295,5.205674
37322,0,2466.211,2.425112,7.655784,14.88003,-8.004374,8.770709,-29.68085,-2.206998,-6.395496,9.572592,6.395496,5.386233,42.3011,20.25462,0.8511084,47.37357,21.2777,4.648862
37323,0,2466.233,2.208505,6.951471,14.96181,-8.840002,7.983918,-30.39239,-2.565672,-6.252161,8.593841,6.252161,5.187576,42.50006,20.84811,1.099495,49.09751,21.83151,4.077079
37324,0,2466.256,2.012367,6.340226,14.96818,-9.592943,7.308336,-31.12546,-2.89577,-6.132133,7.778015,6.132133,5.05412,42.62912,21.2636,1.31745,50.78314,22.26777,3.617904
37325,0,2466.279,1.820804,5.800998,14.92101,-10.32916,6.57462,-31.80888,-3.254678,-6.028509,7.077204,6.028509,4.921911,42.71329,21.62564,1.595323,52.35383,22.649,3.207477
37326,0,2466.302,1.679696,5.425745,14.80414,-11.00942,6.063656,-32.40078,-3.507718,-5.982517,6.621846,5.982517,4.80636,42.77003,21.89378,1.784983,53.78047,22.94729,2.905151
37327,0,2466.325,1.380126,4.959225,14.78923,-11.64837,5.3799,-32.71677,-3.583755,-5.784995,6.069246,5.784995,4.856961,42.87469,22.08992,1.970303,54.76197,23.14036,2.704288
37328,0,2466.349,1.165501,4.633795,-14.7136,-12.11313,4.842985,-32.9332,-3.67738,-5.701487,5.697291,5.701487,4.883831,42.99828,22.24617,2.14046,55.41147,23.29247,2.581188
37329,0,2466.372,0.9333511,4.392533,-14.64577,-12.59871,4.384544,-33.18323,-3.693319,-5.547542,5.414211,5.547542,4.988216,43.08478,22.43742,2.291662,56.21347,23.41076,2.539678
37330,0,2466.397,0.7074825,4.233274,-14.58648,-13.13789,3.968077,-33.70634,-3.691782,-5.38747,5.196708,5.38747,5.131104,43.18517,22.60069,2.458299,57.19987,23.52542,2.542913
37331,0,2466.422,0.4873863,4.150816,-14.52912,-13.6155,3.635396,-34.22623,-3.648353,-5.193502,5.041855,5.193502,5.296536,43.29105,22.74225,2.606844,58.16951,23.65524,2.569407
37332,0,2466.447,0.2130625,4.167109,-14.48443,-14.02416,3.383272,-34.62428,-3.515969,-4.85563,4.96712,4.85563,5.537111,43.44043,22.87282,2.753211,59.13321,23.79838,2.638489
37333,0,2466.471,-0.03956468,4.220625,-14.43902,-14.3867,3.18506,-34.90348,-3.390844,-4.510931,4.941139,4.510931,5.775364,43.59753,22.981,2.896784,60.02954,23.90256,2.693845
37334,0,2466.491,-0.2661444,4.308708,-14.4036,-14.75903,3.03422,-35.16348,-3.321012,-4.174435,4.965227,4.174435,6.028737,43.73271,23.07141,3.055053,60.90409,23.99878,2.754916
37335,0,2466.511,-0.5116726,4.513362,-14.40264,-14.93014,3.000353,-35.23832,-3.175272,-3.75661,5.09862,3.75661,6.358137,43.81691,23.13469,3.201796,61.71536,24.10797,2.828332
37336,0,2466.533,-0.733287,4.704654,-14.40692,-15.12863,2.959492,-35.27039,-3.031703,-3.299781,5.223185,3.299781,6.667328,43.78783,23.17059,3.338827,62.58263,24.21798,2.895026
37337,0,2466.558,-0.9416999,4.87339,-14.43763,-15.85191,2.914233,-35.50772,-2.894215,-2.869421,5.32399,2.869421,6.946503,43.74449,23.18735,3.467861,64.36057,24.28057,2.942444
37338,0,2466.582,-1.13746,4.999554,-14.48772,-16.42702,2.796594,-35.65609,-2.825146,-2.477808,5.39474,2.477808,7.201925,43.73106,23.20955,3.639864,65.75393,24.23485,2.968804
37339,0,2466.605,-1.304613,5.100964,-14.53286,-16.69098,2.672396,-35.57616,-2.78755,-2.125964,5.469416,2.125964,7.447426,43.73438,23.22089,3.807195,66.42003,24.14359,3.016685
37340,0,2466.628,-1.422716,5.171802,-14.55302,-16.28939,2.52569,-35.12456,-2.802048,-1.736073,5.522048,1.736073,7.619322,43.60229,23.22884,3.974783,65.6956,24.07701,3.052488
37341,0,2466.651,-1.585479,5.277709,-14.56822,-15.95888,2.456785,-34.71257,-2.720381,-1.320862,5.593559,1.320862,7.832307,43.42154,23.23441,4.094765,65.21841,24.04237,3.077653
37342,0,2466.691,-1.75736,5.428778,-14.6219,-15.48419,2.364385,-34.02925,-2.705229,-0.9106421,5.712785,0.9106421,8.104525,43.25728,23.20889,4.298696,64.49047,23.98461,3.161617
37343,0,2466.722,-1.902075,5.551109,-14.67607,-15.21293,2.298995,-33.43711,-2.688899,-0.5841681,5.814296,0.5841681,8.375808,43.14441,23.13643,4.460498,64.26743,24.00575,3.28056
37344,0,2466.747,-2.059376,5.630681,-14.78515,-14.92774,2.210985,-33.30779,-2.63225,-0.2093567,5.867118,0.2093567,8.634768,43.1281,23.08783,4.59248,64.44975,24.10367,3.41753
37345,0,2466.771,-2.208948,5.67233,-14.87568,-14.69744,2.106079,-33.29766,-2.57709,0.1136409,5.877632,0.1136409,8.861156,43.16911,23.06433,4.703904,64.65406,24.21226,3.546133
37346,0,2466.791,-2.347437,5.677579,-14.92827,-14.54772,1.991937,-33.38855,-2.564298,0.3789758,5.853103,0.3789758,9.055512,43.22516,23.06047,4.81247,64.81149,24.40524,3.67541
37347,0,2466.811,-2.484986,5.666972,-14.94234,-14.41851,1.893206,-33.55939,-2.548986,0.6061952,5.835898,0.6061952,9.25351,43.25395,23.07663,4.901849,64.64461,24.60888,3.836808
37348,0,2466.833,-2.656455,5.654819,-14.90247,-14.22675,1.821234,-33.99175,-2.50546,0.8796002,5.809439,0.8796002,9.465457,43.11067,23.07538,4.976144,64.73297,24.88063,3.99503
37349,0,2466.856,-2.823344,5.643579,-14.84261,-14.09392,1.761475,-34.39475,-2.46831,1.108005,5.782555,1.108005,9.655001,42.98306,23.07452,5.050319,64.93454,25.0796,4.138531
37350,0,2466.879,-2.96293,5.626084,-14.76744,-13.98273,1.693966,-34.79577,-2.512792,1.248195,5.75786,1.248195,9.81526,42.90207,23.06763,5.161676,65.0868,25.29772,4.265766
37351,0,2466.903,-3.060174,5.613984,-14.71926,-13.93242,1.666126,-35.21513,-2.590121,1.332367,5.753331,1.332367,9.936778,42.86844,23.06699,5.261087,64.83042,25.46973,4.379583
37352,0,2466.926,-3.131316,5.593384,-14.66127,-13.93063,1.632668,-35.50592,-2.644565,1.417755,5.761467,1.417755,10.04056,42.80508,23.06235,5.328552,64.57727,25.68046,4.499323
37353,0,2466.949,-3.182108,5.561196,-14.58709,-14.22255,1.626664,-36.39664,-2.69733,1.514783,5.740371,1.514783,10.10065,42.67682,23.0675,5.363081,65.32462,25.85985,4.566603
37354,0,2466.972,-3.227375,5.529531,-14.55197,-14.72609,1.62558,-37.39972,-2.709567,1.596059,5.697497,1.596059,10.15013,42.58701,23.06483,5.36604,66.35509,26.02213,4.617322
37355,0,2466.997,-3.2451,5.498291,-14.56914,-15.42246,1.649126,-38.56277,-2.743239,1.695352,5.645281,1.695352,10.17359,42.44647,23.03568,5.362241,67.18454,26.19736,4.657408
37356,0,2467.022,-3.215707,5.438875,-14.66204,-16.70974,1.700423,-40.55692,-2.815985,1.723287,5.554708,1.723287,10.15941,42.3439,22.95862,5.334139,68.88119,26.33309,4.669631
37357,0,2467.047,-3.159635,5.367866,-14.78301,-18.04608,1.773434,-42.65188,-2.886969,1.667066,5.445573,1.667066,10.08697,42.29948,22.8774,5.281124,70.32961,26.53308,4.640174
37358,0,2467.071,-3.086228,5.306774,-14.92874,-19.44873,1.84748,-44.82728,-2.943175,1.628587,5.333919,1.628587,9.988024,42.23488,22.83733,5.218644,71.95001,26.73932,4.592566
37359,0,2467.097,-3.034543,5.26414,-15.03485,-20.69324,1.854985,-46.99928,-2.972889,1.590901,5.255646,1.590901,9.918673,42.17068,22.80928,5.188218,72.67218,26.89727,4.572518
37360,0,2467.122,-2.985833,5.215752,-15.17105,-21.85259,1.857516,-49.00842,-3.02375,1.503111,5.26347,1.503111,9.795187,42.17389,22.86731,5.167481,73.16853,26.95457,4.603642
37361,0,2467.147,-2.863822,5.143995,-15.36158,-22.36183,1.867708,-50.92037,-3.16044,1.232735,5.267154,1.232735,9.586773,42.32077,22.99396,5.139994,72.84817,26.70158,4.637303
37362,0,2467.171,-2.711878,5.045545,-15.49196,-22.22194,1.836856,-52.26877,-3.320717,0.9112865,5.260901,0.9112865,9.34014,42.45924,23.14554,5.118602,71.97155,26.36028,4.68705
37363,0,2467.197,-2.607069,4.975711,-15.56494,-21.51353,1.758918,-53.03259,-3.427256,0.6308707,5.263582,0.6308707,9.172154,42.62766,23.28943,5.168542,71.06679,26.02021,4.781556
37364,0,2467.222,-2.516995,4.907321,-15.59452,-20.31469,1.712465,-53.41828,-3.543869,0.3620769,5.262316,0.3620769,9.01524,42.80014,23.4279,5.193201,70.86868,25.57998,4.856921
37365,0,2467.247,-2.429144,4.866511,-15.59741,-17.49923,1.721242,-53.11818,-3.64395,0.1153499,5.27756,0.1153499,8.852949,42.95029,23.55209,5.192332,69.40025,25.07481,4.886477
37366,0,2467.271,-2.324227,4.884593,-15.56602,-15.47873,1.774427,-52.94889,-3.711829,-0.07912937,5.338839,0.07912937,8.685753,43.05963,23.67468,5.174718,68.39676,24.58899,4.851432
37367,0,2467.291,-2.188028,4.943002,-15.51076,-12.93293,1.864876,-52.22081,-3.745595,-0.2676108,5.434622,0.2676108,8.501404,43.16139,23.80875,5.119942,67.17773,24.13943,4.690142
37368,0,2467.311,-2.046219,5.022817,-15.42778,-10.12796,2.016351,-51.10041,-3.778387,-0.4652019,5.514484,0.4652019,8.33105,43.31033,23.94669,5.0361,66.70998,23.72691,4.488601
37369,0,2467.333,-1.872939,5.117837,-15.26602,-7.303528,2.243412,-49.8717,-3.855899,-0.6449805,5.634821,0.6449805,8.160148,43.44206,24.04535,4.940425,66.21519,23.28472,4.312661
37370,0,2467.356,-1.65989,5.216729,-15.03427,-3.602121,2.520104,-48.32804,-3.985951,-0.8952556,5.789296,0.8952556,7.948977,43.48166,24.11443,4.837562,64.6329,22.91065,4.155862
37371,0,2467.38,-1.400116,5.373995,-14.67177,-0.5105241,2.868739,-46.87249,-4.108087,-1.310151,6.057704,1.310151,7.703598,43.47351,24.16275,4.701988,63.22406,22.65679,4.036578
37372,0,2467.403,-1.218686,5.485015,-14.41695,1.863091,3.160997,-45.1529,-4.122411,-1.652445,6.272605,1.652445,7.557332,43.42374,24.13155,4.541182,62.35087,22.49727,3.949775
37373,0,2467.426,-0.9972074,5.613285,-14.19717,3.421881,3.432051,-44.01375,-4.215565,-2.060326,6.497032,2.060326,7.402314,43.43314,24.06351,4.43204,62.07672,22.52929,3.90941
37374,0,2467.449,-0.6852845,5.749753,-14.013,4.728204,3.792353,-42.73316,-4.322233,-2.494812,6.750087,2.494812,7.181984,43.37251,23.98441,4.24962,61.51269,22.56451,3.906153
37375,0,2467.472,-0.2907402,5.880566,-13.80175,6.445611,4.187176,-41.39443,-4.457643,-3.048895,7.044978,3.048895,6.872125,43.33002,23.88916,4.029634,59.8169,22.59173,3.973995
37376,0,2467.497,0.3102743,6.046627,-13.45726,8.093957,4.609,-40.64119,-4.659973,-3.894506,7.505508,3.894506,6.279634,43.19731,23.45564,3.747006,58.41581,22.54064,4.124548
37377,0,2467.522,1.111003,6.134019,-13.16245,9.619465,4.972127,-40.33753,-5.082108,-4.99681,7.910856,4.99681,5.44453,43.01622,23.05353,3.473615,56.81548,22.47793,4.24344
37378,0,2467.547,2.07311,6.204155,12.92745,10.92514,5.365529,-40.40939,-5.649723,-6.303349,8.305839,6.303349,4.363633,42.57739,22.62297,3.191262,55.42585,22.54283,4.276175
37379,0,2467.571,2.932047,6.280258,12.71169,11.76519,5.782487,-40.28535,-6.088435,-7.5229,8.698023,7.5229,3.408064,42.11086,22.2587,2.871944,54.15381,22.63877,4.317744
37380,0,2467.591,3.763275,6.400828,12.32056,12.13206,6.30935,-40.42017,-6.411021,-8.848642,9.170805,8.848642,2.491358,41.6604,21.91365,2.468549,53.36197,22.74254,4.419915
37381,0,2467.622,4.422041,6.510961,11.99461,12.20625,6.791683,-40.61335,-6.653725,-9.945561,9.606766,9.945561,1.751001,41.23575,21.54004,2.11988,53.34876,22.83157,4.571576
37382,0,2467.647,5.063144,6.669857,11.63422,11.97714,7.305543,-40.97287,-6.957394,-11.05617,10.07843,11.05617,0.9999508,40.63416,21.13374,1.819299,53.97832,22.95078,4.715841
37383,0,2467.671,5.600737,6.821477,11.37195,10.57189,7.800844,-41.58727,-7.20059,-11.97772,10.5297,11.97772,0.3051875,39.96362,20.63965,1.55356,56.58665,23.1137,4.847635
