Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
73,0,178.237,0.03426402,0.55778,4.311298,71.1086,91.07738,-89.71037,90.16548,0.1170339,0.7873334,0.1170339,-0.1855749,4.665756,1.050385,0.1356209,0.02797646,0.4010509,0.3516591,
74,0,178.262,0.05595291,0.5591815,4.348526,71.61726,91.19359,-89.72806,90.18516,0.09065409,0.7900625,0.09065409,-0.2255535,4.718002,1.108734,0.1412742,0.03426402,0.4029978,0.3460502,
75,0,178.287,0.07132626,0.5598809,4.369061,71.97639,91.35316,-89.74046,90.21189,0.07661668,0.8060005,0.07661668,-0.2668786,4.76088,1.139099,0.1440177,0.03426402,0.4005627,0.3505445,
76,0,178.307,0.07912937,0.5584812,4.391284,71.72205,91.54185,-89.73869,90.24297,0.07661668,0.8275619,0.07661668,-0.2947506,4.782486,1.162445,0.1467098,0.03426402,0.3779418,0.3533245,
77,0,178.337,0.07661668,0.5712977,4.430139,70.32704,91.89802,-89.71261,90.30125,0.07912937,0.8591176,0.07912937,-0.311533,4.812302,1.18512,0.1519511,0,0.3642322,0.3560827,
78,0,178.362,0.07661668,0.587175,4.46436,69.03236,92.14954,-89.6841,90.34317,0.07661668,0.9026566,0.07661668,-0.324455,4.856262,1.223999,0.1519511,0.01978234,0.3669084,0.3658403,
79,0,178.387,0.07661668,0.598071,4.484803,68.56992,92.3239,-89.66022,90.37253,0.0656106,0.9387863,0.0656106,-0.3397734,4.910126,1.257568,0.1545051,0.02797646,0.3722032,0.3769049,
80,0,178.407,0.07661668,0.6119779,4.510106,68.34495,92.49689,-89.64159,90.40309,0.06255726,0.9805858,0.06255726,-0.3620769,4.979279,1.268463,0.1570175,0.02797646,0.3620769,0.3815487,
81,0,178.437,0.07912937,0.6431577,4.575387,68.26694,92.61483,-89.62889,90.42646,0.0656106,1.044552,0.0656106,-0.3916712,5.040283,1.26767,0.1570175,0.02797646,0.3527702,0.3861367,
82,0,178.462,0.08392937,0.6652907,4.629439,68.94497,92.67389,-89.62857,90.44142,0.05233916,1.085344,0.05233916,-0.4092611,5.101868,1.279755,0.1594904,0.02797646,0.3426407,0.3856296,
83,0,178.487,0.08622923,0.6807005,4.665896,69.88479,92.71484,-89.62666,90.4519,0.04845664,1.112587,0.04845664,-0.4135417,5.170166,1.304962,0.1619255,0.03956468,0.3286494,0.3856296,
84,0,178.507,0.09065409,0.6937978,4.703238,70.3288,92.73885,-89.61916,90.46008,0.03426402,1.133842,0.03426402,-0.4121198,5.268326,1.341522,0.1619255,0.03956468,0.3058279,0.3871488,
85,0,178.528,0.09891172,0.7033216,4.737682,70.85892,92.76876,-89.6141,90.47102,0,1.146713,0,-0.4191812,5.353836,1.385956,0.1631294,0.04423466,0.2839303,0.3861367,
86,0,178.562,0.1203313,0.709416,4.799834,71.28391,92.67964,-89.62477,90.46222,0,1.146371,0,-0.4558544,5.422073,1.431793,0.1619255,0.03956468,0.2733977,0.3794918,
