Frame Index,0x,0y,0z,0w,1x,1y,1z,1w,2x,2y,2z,2w,3x,3y,3z,3w,4x,4y,4z,4w,5x,5y,5z,5w,6x,6y,6z,6w,7x,7y,7z,7w,8x,8y,8z,8w,9x,9y,9z,9w,
27,0,0,0,0,0.2188721,-1.438354,-0.6308594,0,-0.2816162,0.1116943,1.777954,0,0.5323486,0.2087402,2.075806,0,-0.3150635,2.998901,2.671997,0,-0.5140381,-2.898193,1.670532,0,-0.3259277,1.672119,0.588501,0,-0.1672363,1.554565,-0.9794922,0,-0.2623291,1.715576,2.798706,0,0.1945801,1.768066,-0.3925781,0,
28,0,0,0,0,0.2188721,-1.438354,-0.6308594,0,-0.2832031,0.1115723,1.781006,0,0.5308838,0.2092285,2.071289,0,-0.321167,2.995361,2.672974,0,-0.5203857,-2.900024,1.662476,0,-0.3259277,1.672363,0.5878906,0,-0.1695557,1.55542,-0.9781494,0,-0.262207,1.71582,2.797607,0,0.194458,1.768555,-0.3918457,0,
29,0,0,0,0,0.223999,-1.433594,-0.6325684,0,-0.28479,0.1105957,1.785645,0,0.5316162,0.2098389,2.071289,0,-0.321167,2.993286,2.681274,0,-0.5250244,-2.904053,1.665161,0,-0.3259277,1.672363,0.5878906,0,-0.1704102,1.55603,-0.9787598,0,-0.262085,1.716431,2.796997,0,0.1943359,1.768921,-0.3918457,0,
30,0,0,0,0,0.2246094,-1.43335,-0.6330566,0,-0.2858887,0.1098633,1.78772,0,0.5322266,0.2103271,2.067017,0,-0.321167,2.993286,2.681274,0,-0.5241699,-2.908813,1.667725,0,-0.3262939,1.672363,0.5881348,0,-0.1707764,1.556152,-0.9790039,0,-0.2623291,1.717285,2.7948,0,0.1943359,1.768921,-0.3918457,0,
31,0,0,0,0,0.2252197,-1.433472,-0.6335449,0,-0.2858887,0.1098633,1.78772,0,0.5303955,0.2105713,2.060913,0,-0.3210449,2.991455,2.682861,0,-0.5227051,-2.914185,1.669189,0,-0.3265381,1.673096,0.5869141,0,-0.1712646,1.556396,-0.9788818,0,-0.262207,1.717285,2.793579,0,0.1923828,1.768677,-0.3955078,0,
32,0,0,0,0,0.2252197,-1.433472,-0.6335449,0,-0.286499,0.1094971,1.787598,0,0.5283203,0.2108154,2.059326,0,-0.3210449,2.989258,2.684448,0,-0.5227051,-2.914185,1.669189,0,-0.3265381,1.673706,0.5860596,0,-0.1723633,1.557373,-0.9798584,0,-0.262085,1.717163,2.792725,0,0.1921387,1.768555,-0.3966064,0,
33,0,0,0,0,0.2255859,-1.43396,-0.6367188,0,-0.2875977,0.1090088,1.78772,0,0.5274658,0.2132568,2.021484,0,-0.3253174,2.985962,2.687134,0,-0.5285645,-2.919189,1.670166,0,-0.3265381,1.673706,0.5860596,0,-0.1728516,1.558228,-0.9819336,0,-0.262207,1.717163,2.792114,0,0.1921387,1.768555,-0.3966064,0,
34,0,0,0,0,0.2255859,-1.434448,-0.6380615,0,-0.2889404,0.1082764,1.788452,0,0.5256348,0.2139893,2.008057,0,-0.3259277,2.983765,2.690552,0,-0.5288086,-2.919922,1.667969,0,-0.3265381,1.67395,0.5853271,0,-0.1722412,1.558594,-0.9827881,0,-0.262085,1.717163,2.791626,0,0.1923828,1.7677,-0.3985596,0,
35,0,0,0,0,0.2255859,-1.434814,-0.6387939,0,-0.2884521,0.1086426,1.786987,0,0.5252686,0.2147217,2.006714,0,-0.3253174,2.983887,2.691284,0,-0.52771,-2.920776,1.668945,0,-0.3262939,1.674194,0.5843506,0,-0.1721191,1.558594,-0.9829102,0,-0.2617188,1.71582,2.792603,0,0.1925049,1.767578,-0.3996582,0,
36,0,0,0,0,0.2255859,-1.434814,-0.6387939,0,-0.2902832,0.1083984,1.786011,0,0.5252686,0.2147217,2.006714,0,-0.3280029,2.983887,2.693848,0,-0.52771,-2.92041,1.664917,0,-0.3260498,1.674072,0.5838623,0,-0.1721191,1.558594,-0.9830322,0,-0.2619629,1.715088,2.794434,0,0.1925049,1.767578,-0.3996582,0,
37,0,0,0,0,0.2255859,-1.435303,-0.6397705,0,-0.289917,0.1083984,1.786499,0,0.5252686,0.2154541,1.99646,0,-0.3284912,2.984497,2.692261,0,-0.5300293,-2.918823,1.659668,0,-0.324707,1.67395,0.5825195,0,-0.1715088,1.558105,-0.9818115,0,-0.2618408,1.714355,2.796387,0,0.1925049,1.767212,-0.4000244,0,
38,0,0,0,0,0.2258301,-1.435303,-0.6401367,0,-0.289917,0.1083984,1.786377,0,0.5244141,0.2171631,1.992554,0,-0.3284912,2.984497,2.692261,0,-0.5310059,-2.917969,1.658936,0,-0.3244629,1.673706,0.5823975,0,-0.1711426,1.557983,-0.980957,0,-0.2617188,1.713867,2.79895,0,0.1925049,1.767212,-0.4000244,0,
39,0,0,0,0,0.2254639,-1.434814,-0.6403809,0,-0.289917,0.1083984,1.786377,0,0.5238037,0.2182617,1.991699,0,-0.3280029,2.985107,2.69165,0,-0.5301514,-2.917847,1.65918,0,-0.3243408,1.67334,0.5825195,0,-0.1712646,1.557983,-0.9793701,0,-0.2615967,1.713989,2.803223,0,0.1925049,1.766602,-0.3994141,0,
40,0,0,0,0,0.2232666,-1.43396,-0.6416016,0,-0.289917,0.1083984,1.786377,0,0.5224609,0.2209473,1.974854,0,-0.3289795,2.985474,2.689941,0,-0.5311279,-2.916748,1.652222,0,-0.3243408,1.67334,0.5825195,0,-0.1717529,1.55835,-0.9776611,0,-0.2611084,1.713623,2.804565,0,0.1920166,1.767212,-0.3969727,0,
41,0,0,0,0,0.2224121,-1.433716,-0.6425781,0,-0.2907715,0.1092529,1.785156,0,0.5235596,0.2224121,1.973999,0,-0.3289795,2.985474,2.689941,0,-0.5311279,-2.916748,1.652222,0,-0.3227539,1.671997,0.5836182,0,-0.1729736,1.557495,-0.973877,0,-0.2613525,1.713501,2.805786,0,0.1917725,1.767456,-0.3948975,0,
42,0,0,0,0,0.2215576,-1.433716,-0.6436768,0,-0.2919922,0.1105957,1.783813,0,0.5251465,0.2233887,1.966187,0,-0.3289795,2.985474,2.689941,0,-0.5311279,-2.916748,1.652222,0,-0.3200684,1.670654,0.5852051,0,-0.1737061,1.558105,-0.9715576,0,-0.2618408,1.713379,2.804565,0,0.1917725,1.767456,-0.3948975,0,
43,0,0,0,0,0.2209473,-1.434204,-0.6446533,0,-0.2910156,0.1108398,1.78125,0,0.5251465,0.2233887,1.966187,0,-0.3299561,2.985718,2.688721,0,-0.5311279,-2.916748,1.652222,0,-0.3188477,1.669312,0.5869141,0,-0.1751709,1.558472,-0.9688721,0,-0.2619629,1.713257,2.803589,0,0.1916504,1.769165,-0.3883057,0,
44,0,0,0,0,0.2196045,-1.435669,-0.6461182,0,-0.2888184,0.1107178,1.782715,0,0.5250244,0.2242432,1.957397,0,-0.3299561,2.985718,2.688721,0,-0.5314941,-2.91687,1.651855,0,-0.3184814,1.668213,0.5883789,0,-0.1751709,1.558472,-0.9688721,0,-0.2618408,1.713501,2.802368,0,0.1917725,1.769165,-0.3869629,0,
45,0,0,0,0,0.2186279,-1.436646,-0.6464844,0,-0.2888184,0.1107178,1.782715,0,0.5247803,0.2270508,1.945557,0,-0.3297119,2.98584,2.689331,0,-0.5275879,-2.918701,1.651978,0,-0.3179932,1.667847,0.5891113,0,-0.1768799,1.559692,-0.9689941,0,-0.2618408,1.713501,2.802368,0,0.1917725,1.768921,-0.3852539,0,
46,0,0,0,0,0.2180176,-1.437378,-0.6468506,0,-0.2901611,0.1112061,1.780518,0,0.5247803,0.2270508,1.945557,0,-0.3297119,2.98584,2.689331,0,-0.5269775,-2.920288,1.651611,0,-0.317749,1.668457,0.5872803,0,-0.1768799,1.559692,-0.9689941,0,-0.2617188,1.713745,2.799438,0,0.1916504,1.77002,-0.3826904,0,
47,0,0,0,0,0.2174072,-1.438232,-0.6473389,0,-0.2901611,0.1112061,1.780518,0,0.5247803,0.2270508,1.945557,0,-0.3278809,2.985596,2.68811,0,-0.5281982,-2.920044,1.648071,0,-0.317749,1.668457,0.5872803,0,-0.177002,1.560059,-0.9703369,0,-0.2617188,1.714966,2.795044,0,0.1916504,1.77002,-0.3826904,0,
