Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
27,0,489.144,0.09278741,-0.7912999,0.5878411,2.24123,-169.2959,-89.2889,92.81342,-0.14537,-1.406252,0.14537,-0.2406627,0.5930176,0.9096985,0.2220564,0.1978235,0.3127867,0.5500081,
28,0,489.167,0.05233916,-0.9000514,0.6249498,17.69554,-167.6617,-89.24133,92.81201,-0.1203313,-1.514395,0.1203313,-0.2229358,0.6354065,0.9179382,0.2533378,0.3171355,0.3669084,0.5467969,
29,0,489.194,-0.05595291,-1.063121,-0.6906884,30.23794,-163.6099,-89.13902,92.86189,-0.01978234,-1.67573,0.01978234,-0.1384764,0.6650696,0.9132385,0.2804634,0.4149588,0.4182466,0.5399548,
30,0,489.219,-0.1384764,-1.187621,-0.751474,38.31359,-160.7541,-89.07314,92.90223,0.04845664,-1.803308,0.04845664,-0.09278741,0.690094,0.8721313,0.2967354,0.4949555,0.4554249,0.5403171,
31,0,489.244,-0.1938267,-1.285118,-0.8060005,43.02917,-157.9662,-89.02751,92.89853,0.08622923,-1.901046,0.08622923,-0.05595291,0.6865845,0.8224182,0.3083766,0.556375,0.4849715,0.5039662,
32,0,489.267,-0.2332305,-1.353496,-0.8444148,46.06888,-155.2289,-89.00095,92.85937,0.1008706,-1.96752,0.1008706,-0.03956468,0.6694641,0.7729187,0.3177519,0.6055493,0.5241405,0.4722982,
33,0,489.294,-0.254109,-1.407365,-0.9228091,49.91806,-151.0766,-88.99744,92.77,0.1027921,-2.022166,0.1027921,-0.01978234,0.6574707,0.7277832,0.3339648,0.6679325,0.5602303,0.4528397,
34,0,489.319,-0.2609472,-1.445233,-0.9940628,53.72148,-146.4464,-89.0146,92.66386,0.08846933,-2.05833,0.08846933,-0.02797646,0.6364441,0.6877747,0.3516591,0.7324861,0.5753932,0.4401304,
35,0,489.344,-0.2586879,-1.471799,-1.047358,55.97761,-142.7945,-89.02624,92.58643,0.07401875,-2.077448,0.07401875,-0.01978234,0.6049805,0.6765747,0.3636945,0.7790887,0.5878411,0.427501,
36,0,489.367,-0.2579304,-1.490428,-1.07429,57.32867,-139.6791,-89.0388,92.53355,0.06255726,-2.095178,0.06255726,0,0.5745544,0.7002258,0.3841043,0.8235324,0.6003569,0.4215088,
37,0,489.387,-0.2486604,-1.503631,-1.099851,58.83795,-137.7458,-89.05538,92.49837,0.04845664,-2.105614,0.04845664,0.01978234,0.5301819,0.7503357,0.4029978,0.8613922,0.6214961,0.4154301,
38,0,489.419,-0.2414744,-1.517106,-1.115749,59.85942,-136.3976,-89.06681,92.47402,0.04423466,-2.115166,0.04423466,0.04845664,0.4970093,0.8294678,0.4182466,0.8921905,0.6339648,0.4083038,
39,0,489.444,-0.2454926,-1.519941,-1.125353,60.31835,-135.8218,-89.06663,92.4753,0.05595291,-2.113222,0.05595291,0.06852804,0.4758911,0.958313,0.4265846,0.9157847,0.6464956,0.4005627,
40,0,489.472,-0.2624426,-1.483981,-1.151141,60.45618,-135.8172,-89.0526,92.49506,0.07661668,-2.065923,0.07661668,0.1008706,0.4611206,1.071594,0.4405747,0.9460534,0.6635236,0.3779418,
41,0,489.497,-0.2790645,-1.443743,-1.187127,59.91363,-135.7507,-89.02467,92.51267,0.1219466,-2.022263,0.1219466,0.1312212,0.469696,1.171844,0.450674,0.9733753,0.7233464,0.3636945,
42,0,489.522,-0.2907402,-1.400954,-1.236697,58.79544,-135.5815,-88.98277,92.52458,0.1758294,-1.98564,0.1758294,0.1557664,0.5029907,1.221069,0.4571402,1.00561,0.8235324,0.3615361,
43,0,489.547,-0.2907402,-1.360419,-1.295129,57.65369,-135.5,-88.95872,92.52798,0.2298502,-1.951741,0.2298502,0.165511,0.5556946,1.238708,0.4626713,1.019716,0.9396197,0.3620769,
44,0,489.572,-0.2654082,-1.309554,-1.37145,58.18558,-134.9378,-88.96887,92.50458,0.2609472,-1.902589,0.2609472,0.1426525,0.6177368,1.230072,0.4668813,1.023547,1.027363,0.3620769,
45,0,489.597,-0.2315465,-1.257411,-1.442115,59.05545,-134.1951,-88.99317,92.47311,0.2733977,-1.851501,0.2733977,0.1101434,0.6737671,1.22403,0.4698059,1.036654,1.12657,0.3631561,
46,0,489.622,-0.1948336,-1.210792,-1.509217,59.33438,-133.4491,-89.01537,92.43814,0.2586879,-1.802983,0.2586879,0.07132626,0.681488,1.169464,0.4722982,1.053506,1.199589,0.360452,
47,0,489.647,-0.1545051,-1.168184,-1.574082,60.10888,-132.7972,-89.04561,92.39416,0.2349025,-1.758139,0.2349025,0,0.6868591,1.055725,0.4731261,1.065143,1.253201,0.360452,
48,0,489.672,-0.1065312,-1.103226,-1.622689,61.05765,-132.0009,-89.06731,92.34299,0.1938267,-1.68644,0.1938267,-0.06852804,0.6717224,0.9320374,0.4731261,1.085164,1.2738,0.3566318,
49,0,489.697,-0.06852804,-1.034765,-1.648176,61.05759,-130.5359,-89.07321,92.26905,0.1467098,-1.606447,0.1467098,-0.1570175,0.6401672,0.7866821,0.4821389,1.131423,1.273339,0.3560827,
50,0,489.722,-0.03426402,-0.9723696,-1.659536,61.43326,-129.7079,-89.06873,92.21175,0.0656106,-1.521228,0.0656106,-0.2446942,0.5446167,0.5653381,0.4909863,1.165668,1.265941,0.3454843,
51,0,489.747,-0.01978234,-0.9076288,1.655285,61.17913,-129.6231,-89.03877,92.18479,0.01978234,-1.438991,0.01978234,-0.2920831,0.4630737,0.3768616,0.4953507,1.191076,1.244426,0.3351346,
52,0,489.77,0,-0.8620735,1.639605,61.06436,-129.8039,-88.99397,92.16981,-0.01978234,-1.383525,0.01978234,-0.3102743,0.4060059,0.2281189,0.4985009,1.22892,1.223493,0.329838,
53,0,489.794,-0.02797646,-0.8084246,-1.571345,59.66399,-130.6932,-88.8896,92.19793,-0.01978234,-1.328691,0.01978234,-0.2719625,0.3618164,0.1303101,0.5128186,1.243955,1.206907,0.3286494,
54,0,489.819,-0.05934703,-0.7727842,-1.488326,57.51706,-132.7659,-88.78133,92.26273,0,-1.307161,0,-0.2139789,0.3330078,0.08279419,0.5185105,1.245998,1.201708,0.3414966,
55,0,489.845,-0.07912937,-0.7478197,-1.414024,56.20333,-134.2559,-88.67989,92.30812,0.02797646,-1.304613,0.02797646,-0.166689,0.2813721,0.06002808,0.5226451,1.263311,1.193702,0.3636945,
56,0,489.869,-0.09691329,-0.7430948,-1.326184,54.62664,-136.5408,-88.5645,92.36665,0.05595291,-1.324117,0.05595291,-0.1266688,0.2200317,0.04199219,0.5267473,1.287248,1.202847,0.3711503,
57,0,489.894,-0.1136409,-0.7501709,-1.212569,53.24614,-138.6632,-88.48364,92.41172,0.08392937,-1.356673,0.08392937,-0.08846933,0.1498108,0.02731323,0.5392296,1.317004,1.209013,0.3505445,
58,0,489.919,-0.1384764,-0.7803435,-1.032114,50.42022,-141.898,-88.40666,92.47198,0.1341704,-1.405138,0.1341704,-0.03426402,0.111145,0.02957153,0.5478694,1.335448,1.217722,0.3165179,
59,0,489.944,-0.1643245,-0.8204377,-0.8448781,47.34593,-146.2173,-88.33409,92.5592,0.2007689,-1.46206,0.2007689,0.02797646,0.1365356,0.04168701,0.5503638,1.346393,1.218204,0.2973941,
60,0,489.967,-0.1823843,-0.8488063,-0.7041557,43.40686,-151.3486,-88.24864,92.71088,0.25101,-1.50805,0.25101,0.04845664,0.1794739,0.06274414,0.5602303,1.333542,1.214826,0.2839303,
61,0,489.995,-0.2017412,-0.8875727,-0.5500081,39.34559,-155.9026,-88.16827,92.86237,0.2954137,-1.574082,0.2954137,0.08156469,0.2305298,0.08587646,0.5885065,1.330163,1.206259,0.2846186,
62,0,490.019,-0.2167048,-0.9485323,-0.3800071,33.98312,-161.8912,-88.088,93.01862,0.3286494,-1.670818,0.3286494,0.1046783,0.2662964,0.09155273,0.6006827,1.330015,1.202522,0.2960753,
63,0,490.044,-0.2438933,-1.048479,-0.1480375,26.67472,-168.1704,-88.00648,93.15111,0.3626169,-1.807861,0.3626169,0.1398823,0.3059692,0.0871582,0.6058724,1.315517,1.19321,0.3121605,
64,0,490.067,-0.2631872,-1.118376,0,21.62336,-172.3985,-87.94525,93.21624,0.3784592,-1.91428,0.3784592,0.1701742,0.3295898,0.07778931,0.6135744,1.2986,1.196976,0.3238513,
65,0,490.087,-0.2832403,-1.190747,-0.1619255,16.49403,-175.9343,-87.88255,93.24852,0.3981127,-2.024487,0.3981127,0.2036718,0.3482056,0.0670166,0.6129363,1.281153,1.22029,0.3386196,
66,0,490.11,-0.3006659,-1.264858,-0.3134116,12.07163,-179.3925,-87.83099,93.27383,0.4116447,-2.141557,0.4116447,0.23239,0.3612366,0.05529785,0.6119779,1.26872,1.227964,0.3443497,
67,0,490.144,-0.309643,-1.382252,-0.5028,6.689616,176.5969,-87.78246,93.26586,0.4182466,-2.288671,0.4182466,0.2533378,0.3703613,0.04708862,0.6167554,1.272724,1.237646,0.3477423,
68,0,490.167,-0.315899,-1.464334,-0.6233823,2.831859,173.75,-87.73624,93.25994,0.4338616,-2.412326,0.4338616,0.2818553,0.3893433,0.04553223,0.6192883,1.261916,1.237804,0.3711503,
69,0,490.194,-0.2954137,-1.552804,-0.6795497,1.412085,172.0669,-87.72156,93.21825,0.4284154,-2.538599,0.4284154,0.2783625,0.4215088,0.05285645,0.6236961,1.248822,1.233687,0.3986039,
70,0,490.219,-0.2639296,-1.60596,-0.6632286,1.531485,171.595,-87.72888,93.17141,0.4102162,-2.620549,0.4102162,0.2564087,0.4838867,0.06634521,0.6243232,1.239384,1.229238,0.4177785,
71,0,490.246,-0.2422834,-1.642944,-0.640108,3.566998,171.3002,-87.72354,93.13867,0.4000739,-2.686277,0.4000739,0.2478722,0.5548401,0.119873,0.6311808,1.270724,1.234004,0.4387946,
72,0,490.269,-0.2139789,-1.653984,-0.591822,5.521516,170.2847,-87.73389,93.09148,0.3784592,-2.721748,0.3784592,0.2255535,0.6296692,0.1783447,0.6339648,1.292861,1.2397,0.4579955,
