Frame Index,0x,0y,0z,0w,1x,1y,1z,1w,2x,2y,2z,2w,3x,3y,3z,3w,4x,4y,4z,4w,5x,5y,5z,5w,6x,6y,6z,6w,7x,7y,7z,7w,8x,8y,8z,8w,9x,9y,9z,9w,
44,0,0,0,0,0.2067871,-1.435913,-2.0896,0,-0.3145752,0.1171875,1.787354,0,0.4429932,0.1859131,1.875488,0,-0.3227539,2.982178,2.603149,0,-0.5452881,-2.923218,1.526001,0,-0.324585,1.630493,0.2956543,0,-0.130127,1.534912,0.4139404,0,-0.2498779,1.700073,3.00293,0,-0.03759766,1.763794,-0.1385498,0,
45,0,0,0,0,0.2067871,-1.435913,-2.0896,0,-0.3145752,0.1171875,1.787354,0,0.4422607,0.1865234,1.875366,0,-0.3258057,2.981812,2.60437,0,-0.5467529,-2.923096,1.527832,0,-0.3248291,1.630615,0.2947998,0,-0.1298828,1.534668,0.4136963,0,-0.25,1.699951,3.001587,0,-0.0369873,1.763672,-0.1413574,0,
46,0,0,0,0,0.2067871,-1.435913,-2.0896,0,-0.3165283,0.1174316,1.785156,0,0.4394531,0.1864014,1.873779,0,-0.3255615,2.981323,2.604126,0,-0.5438232,-2.92334,1.527344,0,-0.324585,1.630859,0.293457,0,-0.1296387,1.535156,0.4133301,0,-0.2498779,1.699829,3.001099,0,-0.0369873,1.763794,-0.1416016,0,
47,0,0,0,0,0.2062988,-1.436401,-2.089722,0,-0.3154297,0.1174316,1.7854,0,0.4394531,0.1864014,1.873779,0,-0.3262939,2.980835,2.607666,0,-0.543335,-2.922852,1.526855,0,-0.3238525,1.631226,0.2912598,0,-0.1292725,1.535156,0.4117432,0,-0.2492676,1.699829,3.001587,0,-0.03674316,1.764038,-0.1428223,0,
48,0,0,0,0,0.2058105,-1.436523,-2.089355,0,-0.314209,0.1181641,1.787109,0,0.4383545,0.1873779,1.875732,0,-0.3262939,2.981079,2.607178,0,-0.5418701,-2.923218,1.534302,0,-0.3236084,1.630859,0.2912598,0,-0.1292725,1.535156,0.4117432,0,-0.2491455,1.699829,3.001953,0,-0.03674316,1.764038,-0.1428223,0,
49,0,0,0,0,0.2054443,-1.436157,-2.088623,0,-0.3148193,0.1181641,1.787598,0,0.4378662,0.1883545,1.878174,0,-0.3262939,2.981079,2.607178,0,-0.5424805,-2.924072,1.539673,0,-0.3234863,1.630615,0.2911377,0,-0.1282959,1.534302,0.4134521,0,-0.2487793,1.700073,3.003418,0,-0.0369873,1.764038,-0.1427002,0,
50,0,0,0,0,0.2052002,-1.435913,-2.088257,0,-0.3139648,0.1175537,1.790283,0,0.4378662,0.1883545,1.878174,0,-0.3253174,2.981445,2.608887,0,-0.5424805,-2.924805,1.54126,0,-0.3222656,1.629272,0.2927246,0,-0.1282959,1.534302,0.4134521,0,-0.2484131,1.700317,3.004395,0,-0.03662109,1.764404,-0.1422119,0,
51,0,0,0,0,0.2049561,-1.435913,-2.088257,0,-0.3139648,0.1175537,1.790283,0,0.4367676,0.1887207,1.878296,0,-0.3253174,2.981445,2.608887,0,-0.5429688,-2.928101,1.547119,0,-0.3215332,1.629272,0.2940674,0,-0.1281738,1.534668,0.4152832,0,-0.2476807,1.700439,3.005615,0,-0.03613281,1.764526,-0.1420898,0,
52,0,0,0,0,0.2038574,-1.436035,-2.087646,0,-0.3126221,0.1182861,1.792969,0,0.4373779,0.1882324,1.878052,0,-0.3253174,2.981445,2.608887,0,-0.5429688,-2.928101,1.547119,0,-0.321167,1.629395,0.2949219,0,-0.1281738,1.534668,0.4162598,0,-0.2470703,1.700684,3.006592,0,-0.0357666,1.764282,-0.1416016,0,
53,0,0,0,0,0.2034912,-1.435791,-2.086914,0,-0.3128662,0.118042,1.794556,0,0.442627,0.1878662,1.878174,0,-0.3232422,2.982056,2.608276,0,-0.541748,-2.928467,1.548706,0,-0.3208008,1.629395,0.2966309,0,-0.128418,1.534912,0.4171143,0,-0.2469482,1.700928,3.007324,0,-0.03552246,1.764648,-0.140625,0,
